,Clause,Data access limitation,Generic,Privacy/Security program,Other,Unspecified,Secure data transfer,Secure user authentication,Privacy review/audit,Secure data storage,Privacy training
0,Access to your personally identifiable information by these contractors is limited to the information reasonably necessary in order for these Outside Contractors to perform their limited function for us.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"We also require that these contractors (i) protect the privacy of your personally identifiable information consistent with this Privacy Policy, and (ii) not use or disclose your personally identifiable information for any purpose other than providing us with products or services for which we contracted",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"The Hill takes every effort to protect against unauthorized access to your personal information, and has put in place commercially reasonable physical, electronic, and managerial procedures to safeguard and secure the information we collect on the Site.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Notwithstanding the above commitment to protect your information from loss, misuse or alteration by third parties, you should be aware that there is always some risk involved in transmitting information over the Internet. Additionally, there also is some risk our security systems could be circumvented or breached. As a result, while we strive to protect your information, we cannot ensure or warrant the security and privacy of any information you transmit to us, and you do so at your own risk.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"We use information for security purposes. We may use information to protect our company, our customers, or our websites.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,We have security measures in place to protect your information. The standard security measures we use will depend on the type of information collected.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"We use standard security measures. We have security measures in place to protect your information. The standard security measures we use will depend on the type of information collected. However, the Internet is not 100% secure. We cannot promise that your use of our sites will be completely safe. We encourage you to use caution when using the Internet. This includes not sharing your passwords. If you think that an unauthorized account has been created using your name, contact us at the address below.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,We are TRUSTe certified.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"TRUSTe has awarded Live Nation the TRUSTe's Privacy Seal. This means TRUSTe independently reviewed this Policy and the practices on Live Nation and Ticketmaster sites and apps to make sure they meet TRUSTE's requirements. The seal applies to our practices for information collected on U.S., UK, Ireland sites and apps.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"We store information both in and outside of the United States. If you live outside of the United States, you understand and agree that we may transfer your information to the United States. This site is subject to U.S. laws, which may not afford the same level of protection of those in your country.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,How We Protect Your Personal Information,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,"reasonable safeguards designed to prevent loss, misuse and unauthorized access, disclosure or modification of Personal Information provided or collected through our Online Services.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,reasonable safeguards,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"you should always take appropriate security measures to protect your Personal Information, including ensuring that you have up-to-date antivirus software.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Unfortunately, no system or online transmission of data can be guaranteed to be 100% secure and you should always take appropriate security measures to protect your Personal Information, including ensuring that you have up-to-date antivirus software. If you believe that your NOTMC account or any information you provided to us is no longer secure, please notify us immediately using the Contact Us information provided below.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"For site security purposes and to ensure that this service remains available to all users, this government computer system employs commercial software programs to monitor network traffic to identify unauthorized attempts to upload or change information, or otherwise cause damage.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"commercial software programs to monitor network traffic to identify unauthorized attempts to upload or change information, or otherwise cause damage.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,How Secure Is Information About Me?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,Secure Sockets Layer (SSL) software,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,We reveal only the last four digits of your credit card numbers when confirming an order.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,which encrypts information you inp,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,It is important for you to protect against unauthorized access to your password and to your computer.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,Click here for more information on how to sign off.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,"protect the security of your information during transmission by using Secure Sockets Layer (SSL) software, which encrypts information you input",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,We reveal only the last four digits of your credit card numbers when confirming an order,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Safe Harbor program,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,compliance with the US-EU and US-Swiss Safe Harbor Principles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"any unresolved privacy complaints can be referred to an independent dispute resolution mechanism. We use the BBB EU Safe Harbor Program, which is operated by the Council of Better Business Bureaus. If you feel that we have not satisfactorily addressed your complaint, you can visit the BBB EU Safe Harbor Program",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,"Whenever we obtain your Personal Information, we use commercially reasonable efforts to protect it from unauthorized access or disclosure. However, we are not insurers of the security of your Personal Information. Accordingly, we assume no liability for any disclosure of data due to errors in transmission, unauthorized third party access or other acts of third parties, or acts or omissions beyond our reasonable control.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"However, we cannot guarantee compliance with this policy and no method of transmission over the Internet, or method of electronic storage, is 100% secure. Therefore, while we strive to use commercially acceptable means to protect your Personal Information, we cannot guarantee its absolute security.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"third party service providers, such as the online store and personals providers, to encrypt sensitive information such as a credit card numbers using secure socket layer technology (SSL)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,"Our policy is to require our third party service providers, such as the online store and personals providers, to encrypt sensitive information such as a credit card numbers using secure socket layer technology (SSL",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,to encrypt sensitive information such as a credit card numbers using secure socket layer technology (SSL).,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,"They have access to personal information needed to perform their functions, but may not use it for other purposes.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"How Secure Is Information About Me- </strong> <br> <br> If you use our subscription service, we work to protect the security of your subscription information during transmission by using Secure Sockets Layer (SSL) software, which encrypts information you input.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,"we work to protect the security of your subscription information during transmission by using Secure Sockets Layer (SSL) software, which encrypts information you input.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,Secure Sockets Layer (SSL),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,It is important for you to protect against unauthorized access to your password and to your computer. Be sure to sign off when finished using a shared computer.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,treating your personal information with care and respect.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"The security, integrity and confidentiality of your information are extremely important to us. We have implemented technical, administrative and physical security measures that are designed to protect guest information from unauthorized access, disclosure, use and modification. From time to time, we review our security procedures to consider appropriate new technology and methods. Please be aware though that, despite our best efforts, no security measures are perfect or impenetrable",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"The security, integrity and confidentiality of your information are extremely important to us. We have implemented technical, administrative and physical security measures that are designed to protect guest information from unauthorized access, disclosure, use and modification.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"The security, integrity and confidentiality of your information are extremely important to us. We have implemented technical, administrative and physical security measures that are designed to protect guest information from unauthorized access, disclosure, use and modification. From time to time, we review our security procedures to consider appropriate new technology and methods.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,we will take reasonable steps to safeguard the privacy of your personal information,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"Wherever your personal information is transferred, stored or processed by us, we will take reasonable steps to safeguard the privacy of your personal information",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"We operate globally and may transfer your personal informationto individual companies of The Walt Disney Family of Companiesor third parties in locations around the world for the purposes described in this privacy policy. Wherever your personal information is transferred, stored or processed by us, we will take reasonable steps to safeguard the privacy of your personal information.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
45,TRUSTe Privacy Seal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,When entering payment and personal information on our web pages you will see that we use SSL certificates to encrypt your data as you submit it.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,SSL certificates to encrypt your data as you submit it,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,We take the responsibility for keeping your payment and personal information private and secure very seriously,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Our internal systems and procedures are periodically reviewed for compliance with industry standards on data security.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,"Links to Other Sites This Site provides links to websites maintained by other organizations. Miami New Times provides these links as a convenience to users, but it does not operate, control or endorse such sites. Miami New Times also disclaims any responsibility for the information on those sites and any products or services offered on such sites. Please review the privacy policies of these sites. Miami New Times is not responsible for any actions or policies of such third parties, and does not make any warranties or representations that any linked sites (or even this Site) will function without error or interruption, that defects will be corrected, or that the sites and their servers are free of viruses and other problems that can harm your computer. Miami New Times disclaims any responsibility for transactions conducted on those sites and cannot vouch for the security of the information submitted in those transactions.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"We use reasonable efforts to protect your personally identifiable information from unauthorized use or disclosure. Unfortunately, information transmitted on the Internet and/or stored on systems attached to the Internet are not 100% secure. Updates and Changes to Your Information.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"We use reasonable efforts to protect your personally identifiable information from unauthorized use or disclosure. Unfortunately, information transmitted on the Internet and/or stored on systems attached to the Internet are not 100% secure.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"Because no data transmission is completely secure, and no system of physical or electronic security is impenetrable, we cannot guarantee the security of the information you send to us or the security of our servers, networks or databases, and by using the Service you agree to assume all risk in connection with the information sent to us or collected by us when you access, visit and/or use the Service, including without limitation your personally identifiable information or other Registration Information, and we are not responsible for any loss of such information or the consequences thereof.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"Moreover, if you elect to store information, such as your personally identifiable information or other Registration Information, where others may access it, we are not responsible for any loss of such information or the consequences thereof. If you lose a computer, mobile or other device, or it is stolen, that contains your personally identifiable information or other Registration Information, it is up to you to take all the steps necessary to protect yourself.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"Moreover, if you elect to store information, such as your personally identifiable information or other Registration Information, where others may access it, we are not responsible for any loss of such information or the consequences thereof. If you lose a computer, mobile or other device, or it is stolen, that contains your personally identifiable information or other Registration Information, it is up to you to take all the steps necessary to protect yourse",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
