,Clause,Category
0,contact you as necessary,Personal notice
1,we reserve the right to contact you as necessary in our sole discretion,Unspecified
2,we reserve the right to contact you as necessary,Personal notice
3,notice on the Site,General notice on website
4,contacting you through electronic mail or other means.,Personal notice
5,posting a notice on the Site,General notice on website
6,by contacting you through electronic mail,Personal notice
7,other means,Other
8,We may notify you by posting a notice on the Site,General notice on website
9,by contacting you through electronic mail or other means,Personal notice
10,"Effective July 20, 2012 (last updated October 08, 2013)",General notice in privacy policy
11,We will notify you of any material changes to this policy as required by law.,Personal notice
12,We will also post an updated copy on our website.,Other
13,What we will do if there is an update to this policy. From time to time we may change our privacy practices. We will notify you of any material changes to this policy as required by law. We will also post an updated copy on our website. Please check our site periodically for updates.,General notice on website
14,We will also post an updated copy on our website,General notice on website
15,"Last Updated on May 22, 2015",General notice in privacy policy
16,"We may change our Privacy Policy, so please check this page from time to time, as your continued use of the Online Services after we publish our changes, indicates your acceptance of any changed terms.",No notification
17,"o please check this page from time to time,",General notice in privacy policy
18,"You can tell when the Privacy Policy was last updated by reviewing the ""Last Updated"" date at the top of the page.",General notice on website
19,"communicate with you by mail, telephone, facsimile, e-mail, mobile alerts and SMS text messaging",Personal notice
20,click here.,General notice in privacy policy
21,click here.,General notice in privacy policy
22,Last updated,General notice in privacy policy
23,Last updated,General notice in privacy policy
24,Notices,Unspecified
25,"  Business Transfers: As we continue to develop our business, we might sell or buy stores, subsidiaries, or business units. In such transactions, customer information generally is one of the transferred business assets but remains subject to the promises made in any pre-existing Privacy Notice (unless, of course, the customer consents otherwise). Also, in the unlikely event that Amazon.com, Inc., or substantially all of its assets are acquired, customer information will of course be one of the transferred assets.  ",Unspecified
26,is your responsibility to review them for changes.,Unspecified
27,Web site,General notice on website
28,may e-mail periodic reminders,Other
29,"We may e-mail periodic reminders of our notices and conditions,",Personal notice
30,without the consent of affected customers.,Unspecified
31,email,Personal notice
32,by means of a notice on our home page,General notice on website
33,home page,General notice on website
34,other places we deem appropriate,Unspecified
35,we will notify you here,General notice in privacy policy
36,"by email,",Personal notice
37,by means of a notice on our home page,General notice on website
38,we will post those changes to this privacy statement,General notice in privacy policy
39,the home page,General notice on website
40,we will notify you here,General notice in privacy policy
41,"by email,",Personal notice
42,or by means of a notice on our home page,General notice on website
43,"Last Updated, December 5, 2014 . To see what has changed click here",General notice in privacy policy
44,"such as this Privacy Notice,",Personal notice
45,"We may e-mail periodic reminders of our notices and conditions, unless you have instructed us not to, but you should check our Web site frequently to see recent changes.",Personal notice
46,"e-mail periodic reminders of our notices and conditions, unless you have instructed us not to, but you should check our Web site frequently to see recent changes.",Personal notice
47,"e-mail periodic reminders of our notices and conditions, unless you have instructed us not to, but you should check our Web site frequently to see recent changes.",Personal notice
48,"We may e-mail periodic reminders of our notices and conditions, unless you have instructed us not to,",Personal notice
49,but you should check our Web site frequently to see recent changes.,General notice in privacy policy
50,"Last Modified: June 19, 2015",General notice in privacy policy
51,or changes to our policies,Personal notice
52,provide notice,Personal notice
53,We will provide noticeto you if these changes are material,Unspecified
54," 9. Changes to this Privacy Policy    From time to time, we may change this privacy policy to accommodate new technologies, industry practices, regulatory requirements or for other purposes. We will provide noticeto you if these changes are material and, where required by applicable law, we will obtain your consent.  ",Unspecified
55,last email address you provided us,Personal notice
56,"posting notice of such changes on our sites and applications,",General notice on website
57,other means,Other
58,"Posted: Tuesday, September 18, 2012 12:29 pm Updated: Thursday, May 21, 2015 3:22 pm.",General notice in privacy policy
59,we will post these changes here,General notice in privacy policy
