,Clause,Personal notice,Unspecified,General notice on website,Other,General notice in privacy policy,No notification
0,contact you as necessary,1.0,0.0,0.0,0.0,0.0,0.0
1,we reserve the right to contact you as necessary in our sole discretion,0.0,1.0,0.0,0.0,0.0,0.0
2,we reserve the right to contact you as necessary,1.0,0.0,0.0,0.0,0.0,0.0
3,notice on the Site,0.0,0.0,1.0,0.0,0.0,0.0
4,contacting you through electronic mail or other means.,1.0,0.0,0.0,0.0,0.0,0.0
5,posting a notice on the Site,0.0,0.0,1.0,0.0,0.0,0.0
6,by contacting you through electronic mail,1.0,0.0,0.0,0.0,0.0,0.0
7,other means,0.0,0.0,0.0,1.0,0.0,0.0
8,We may notify you by posting a notice on the Site,0.0,0.0,1.0,0.0,0.0,0.0
9,by contacting you through electronic mail or other means,1.0,0.0,0.0,0.0,0.0,0.0
10,"Effective July 20, 2012 (last updated October 08, 2013)",0.0,0.0,0.0,0.0,1.0,0.0
11,We will notify you of any material changes to this policy as required by law.,1.0,0.0,0.0,0.0,0.0,0.0
12,We will also post an updated copy on our website.,0.0,0.0,0.0,1.0,0.0,0.0
13,What we will do if there is an update to this policy. From time to time we may change our privacy practices. We will notify you of any material changes to this policy as required by law. We will also post an updated copy on our website. Please check our site periodically for updates.,0.0,0.0,1.0,0.0,0.0,0.0
14,We will also post an updated copy on our website,0.0,0.0,1.0,0.0,0.0,0.0
15,"Last Updated on May 22, 2015",0.0,0.0,0.0,0.0,1.0,0.0
16,"We may change our Privacy Policy, so please check this page from time to time, as your continued use of the Online Services after we publish our changes, indicates your acceptance of any changed terms.",0.0,0.0,0.0,0.0,0.0,1.0
17,"o please check this page from time to time,",0.0,0.0,0.0,0.0,1.0,0.0
18,"You can tell when the Privacy Policy was last updated by reviewing the ""Last Updated"" date at the top of the page.",0.0,0.0,1.0,0.0,0.0,0.0
19,"communicate with you by mail, telephone, facsimile, e-mail, mobile alerts and SMS text messaging",1.0,0.0,0.0,0.0,0.0,0.0
20,click here.,0.0,0.0,0.0,0.0,1.0,0.0
21,Last updated,0.0,0.0,0.0,0.0,1.0,0.0
22,Notices,0.0,1.0,0.0,0.0,0.0,0.0
23,"  Business Transfers: As we continue to develop our business, we might sell or buy stores, subsidiaries, or business units. In such transactions, customer information generally is one of the transferred business assets but remains subject to the promises made in any pre-existing Privacy Notice (unless, of course, the customer consents otherwise). Also, in the unlikely event that Amazon.com, Inc., or substantially all of its assets are acquired, customer information will of course be one of the transferred assets.  ",0.0,1.0,0.0,0.0,0.0,0.0
24,is your responsibility to review them for changes.,0.0,1.0,0.0,0.0,0.0,0.0
25,Web site,0.0,0.0,1.0,0.0,0.0,0.0
26,may e-mail periodic reminders,0.0,0.0,0.0,1.0,0.0,0.0
