,Clause,Category
0,opt-out,Opt-out via contacting company
1,opt-out,Opt-out via contacting company
2,opt-out of receiving promotional communications from The Hill or third parties at any time by contacting our Information Privacy Manager at the address below.,Opt-out via contacting company
3,You may at any time opt-out of receiving promotional communications from The Hill or third parties at any time by contacting our Information Privacy Manager at the address below.,Opt-out via contacting company
4,You may at any time opt-out of receiving promotional communications from The Hill or third parties at any time by contacting our Information Privacy Manager at the address below.,Opt-out via contacting company
5,please do not make any use of the Site.,Dont use service/feature
6,"If you do not agree to this Privacy Policy, please do not make any use of the Site.",Dont use service/feature
7,click here or follow the instructions in any promotional message you get from us.,Opt-out link
8,device settings should provide you with instructions on how to turn off push notifications.,Browser/device privacy controls
9,"To stop receiving our promotional emails, click here or follow the instructions in any promotional message you get from us.",Opt-out link
10,Your device settings should provide you with instructions on how to turn off push notifications.,Browser/device privacy controls
11,"You can opt out of receiving our marketing emails. To stop receiving our promotional emails, click here or follow the instructions in any promotional message you get from us.",Opt-out link
12,Your device settings should provide you with instructions on how to turn off push notifications.,Browser/device privacy controls
13,"To learn how to manage how we - and our vendors - use cookies and other tracking tools, please click here.",Unspecified
14,"To learn how to manage how we - and our vendors - use cookies and other tracking tools, please click here.",Unspecified
15,"You can control cookies and tracking tools. To learn how to manage how we - and our vendors - use cookies and other tracking tools, please click here.  ",Unspecified
16,"You can control cookies and tracking tools. To learn how to manage how we - and our vendors - use cookies and other tracking tools, please click here.",Unspecified
17,You can control tools on your mobile devices.,Browser/device privacy controls
18,"""unsubscribe"" link.",Opt-out link
19,"You can control tools on your mobile devices. For example, you can turn off the GPS locator or push notifications on your phone.",Browser/device privacy controls
20,"Each push notification has an ""unsubscribe"" link.",Opt-out link
21,"You can control tools on your mobile devices. For example, you can turn off the GPS locator or push notifications on your phone. Each push notification has an ""unsubscribe"" link.",Browser/device privacy controls
22,"You can control tools on your mobile devices. For example, you can turn off the GPS locator or push notifications on your phone. Each push notification has an ""unsubscribe"" link.",Browser/device privacy controls
23,"If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.",Dont use service/feature
24,"By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.",Dont use service/feature
25,do not use any of our Online Services.,Dont use service/feature
26,Your Options,Unspecified
27,you consent to providing it,Opt-in
28,"If, at any time, you decide you would rather not receive these types of communications from NOTMC, you can opt",First-party privacy controls
29,"the ""opt-out"" or ""unsubscribe"" or ""STOP"" instructions in the relevant communication",Opt-out link
30,update the contact preferences for your NOTMC account.,First-party privacy controls
31,"You must opt in (i.e., expressly consent)",Opt-in
32,"You must opt in (i.e., expressly consent)",Opt-in
33,"You must opt in (i.e., expressly consent)",Opt-in
34,please follow the directions in the e-mail or other relevant electronic communication you receive from us.,Opt-out link
35,Please consult your particular Web browser's settings,Browser/device privacy controls
36,"Your Options for Cookies Web browsers allow some control of most Cookies. Please consult your particular Web browser's settings. You can learn more about Cookies, see what Cookies have been set on your computing device and learn how to manage and delete them at allaboutcookies.org.",Browser/device privacy controls
37,you can edit your browser's options to stop accepting persistent cookies or to prompt you before accepting a cookie from the websites you visit,Browser/device privacy controls
38,you can edit your browser's options to stop accepting persistent cookies or to prompt you before accepting a cookie from the websites you visit.,Browser/device privacy controls
39,edit your browser's options,Browser/device privacy controls
40,what you decide to give us,Other
41,you decide to give us,Opt-in
42,you decide to give us,Opt-in
43,"By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.",Dont use service/feature
44,you are accepting the practices,Dont use service/feature
45,What Choices Do I Have?,Unspecified
46,You can choose,Other
47,Most mobile devices allow you to turn off location services.,Browser/device privacy controls
48,Most mobile devices allow you to turn off location services.,Browser/device privacy controls
49,Most mobile devices allow you to turn off location services.,Browser/device privacy controls
50,Most mobile devices allow you to turn off location services.,Browser/device privacy controls
