,Clause,Opt-out via contacting company,Dont use service/feature,Opt-out link,Browser/device privacy controls,Unspecified,Opt-in,First-party privacy controls,Other,Third-party privacy controls
0,opt-out,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,opt-out of receiving promotional communications from The Hill or third parties at any time by contacting our Information Privacy Manager at the address below.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,You may at any time opt-out of receiving promotional communications from The Hill or third parties at any time by contacting our Information Privacy Manager at the address below.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,please do not make any use of the Site.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"If you do not agree to this Privacy Policy, please do not make any use of the Site.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,click here or follow the instructions in any promotional message you get from us.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,device settings should provide you with instructions on how to turn off push notifications.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,"To stop receiving our promotional emails, click here or follow the instructions in any promotional message you get from us.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Your device settings should provide you with instructions on how to turn off push notifications.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,"You can opt out of receiving our marketing emails. To stop receiving our promotional emails, click here or follow the instructions in any promotional message you get from us.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"To learn how to manage how we - and our vendors - use cookies and other tracking tools, please click here.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,"You can control cookies and tracking tools. To learn how to manage how we - and our vendors - use cookies and other tracking tools, please click here.  ",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,"You can control cookies and tracking tools. To learn how to manage how we - and our vendors - use cookies and other tracking tools, please click here.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,You can control tools on your mobile devices.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,"""unsubscribe"" link.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"You can control tools on your mobile devices. For example, you can turn off the GPS locator or push notifications on your phone.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,"Each push notification has an ""unsubscribe"" link.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"You can control tools on your mobile devices. For example, you can turn off the GPS locator or push notifications on your phone. Each push notification has an ""unsubscribe"" link.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,"If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
